STB data file - /home/stopthebleed/StoptheBleed/GaleProgramFileSaves17-51-38.csv
time (seconds), direct pressure (pounds), tourniquet (pounds)
0.006,0.379,1.293
0.363,0.386,1.279
0.647,0.379,1.293
0.916,0.386,1.307
1.193,0.386,1.293
1.481,0.386,1.300
1.801,0.386,1.293
2.100,0.386,1.293
2.461,0.386,1.293
2.753,0.386,1.293
3.069,0.386,1.300
3.390,0.386,1.293
3.672,0.386,1.300
3.963,0.386,1.293
4.267,0.386,1.307
4.580,0.386,1.293
4.873,0.386,1.279
5.189,0.386,1.293
5.481,0.386,1.293
5.767,0.386,1.293
6.049,0.386,1.271
6.363,0.400,1.300
6.653,0.386,1.307
6.975,0.379,1.293
